Subject;Subject Desc;Course Number;Title;Academic Period;Academic Period Desc;Section;CRN;Instructor;A;A-;A+;AU;B;B-;B+;C;C-;C+;D;D-;D+;E;F;I;N;P;PI;S;SI;U;W;
;;;;;;023;17955;Anilkumar, Aditya;25.0%;16.7%;16.7%;;25.0%;;16.7%;;;;;;;;;;;;;;;;;
;;;;;;024;10032;Lear, Alyssa V.;30.8%;;38.5%;;;7.7%;23.1%;;;;;;;;;;;;;;;;;
;;;;;;027;16125;Moy, Chandler J.;35.7%;7.1%;7.1%;;;28.6%;7.1%;7.1%;;;;;;;;;;;;;;;7.1%;
;;;;;;028;16136;Farmer, Samarpan;64.3%;7.1%;21.4%;;;;;;;;;;;;;;;;;;;;7.1%;
;;;;;;030;16146;Farmer, Samarpan;57.1%;7.1%;28.6%;;;;7.1%;;;;;;;;;;;;;;;;;
;;;;;;031;16148;Padmanabhan, Pratyush;30.8%;15.4%;30.8%;;7.7%;7.7%;7.7%;;;;;;;;;;;;;;;;;
;;;;;;032;16173;Lear, Alyssa V.;35.7%;28.6%;21.4%;;;;;7.1%;;7.1%;;;;;;;;;;;;;;
;;;;;;033;16177;Lear, Alyssa V.;35.7%;7.1%;35.7%;;;;7.1%;;;7.1%;;;;;;;;;;;;;7.1%;
;;33800;Thermal Sciences;202420;Spring 2024;001;12475;Maeda, Kazuki;8.0%;10.0%;4.0%;;19.0%;14.0%;14.0%;8.0%;4.0%;13.0%;1.0%;;;;3.0%;;;;;;;;2.0%;
;;33900;Aerospace Propulsion;202420;Spring 2024;001;15895;Anderson, William E.;15.7%;4.3%;2.9%;;15.7%;7.1%;21.4%;7.1%;8.6%;11.4%;4.3%;;1.4%;;;;;;;;;;;
;;;;;;002;14589;Wang, Haifeng;7.1%;10.0%;1.4%;;11.4%;7.1%;24.3%;8.6%;12.9%;8.6%;2.9%;;2.9%;;;;;;;;;;2.9%;
;;;;;;003;10587;Anderson, William E.;2.7%;10.8%;4.1%;;16.2%;8.1%;23.0%;5.4%;6.8%;8.1%;;1.4%;2.7%;;1.4%;;;;;;;;9.5%;
;;34000;Dynamics & Vibrations;202420;Spring 2024;001;10035;LeGrand, Keith A.;39.3%;;13.1%;;27.9%;;;6.6%;;;6.6%;;;;1.6%;;;;;;;;4.9%;
;;;;;;002;10040;Joshi, Pankaj;27.1%;;;;38.6%;;;24.3%;;;5.7%;;;;1.4%;;;;;;;;2.9%;
;;;;;;003;10591;Bhadauria, Surabhi;28.1%;;8.8%;;31.6%;;;26.3%;;;3.5%;;;;1.8%;;;;;;;;;
;;;;;;004;10594;Joshi, Pankaj;19.4%;;2.8%;;44.4%;;;25.0%;;;5.6%;;;;1.4%;;;;;;;;1.4%;
;;35200;Structural Analysis I;202420;Spring 2024;001;10038;Yu, Wenbin;6.7%;10.0%;3.3%;;6.7%;20.0%;10.0%;3.3%;6.7%;13.3%;;10.0%;3.3%;;3.3%;3.3%;;;;;;;;
;;;;;;002;10595;Agyei, Ronald F.;5.9%;11.8%;;;17.6%;17.6%;9.8%;13.7%;3.9%;5.9%;5.9%;2.0%;;;3.9%;;;;;;;;2.0%;
;;35201;Struct Anly I Lab;202420;Spring 2024;003;10041;Hariguchi, Nanami;25.0%;43.8%;12.5%;;18.8%;;;;;;;;;;;;;;;;;;;
;;;;;;005;11299;Hariguchi, Nanami;23.5%;64.7%;5.9%;;5.9%;;;;;;;;;;;;;;;;;;;
;;36400;Control System Anly;202420;Spring 2024;001;10043;Goppert, James M.;15.9%;13.0%;;;23.2%;8.7%;18.8%;7.2%;4.3%;4.3%;1.4%;;;;;;;;;;;;2.9%;
;;;;;;002;16183;Mou, Shaoshuai;12.0%;13.0%;4.3%;;14.1%;13.0%;20.7%;5.4%;3.3%;6.5%;2.2%;1.1%;1.1%;;3.3%;;;;;;;;;
;;;;;;003;16185;Frazho, Arthur E.;12.1%;12.1%;;;12.1%;12.1%;12.1%;6.1%;3.0%;13.6%;4.5%;;4.5%;;4.5%;;;;;;;;3.0%;
;;;;;;004;10596;Dai, Ran;5.0%;16.7%;1.7%;;23.3%;8.3%;5.0%;8.3%;5.0%;10.0%;5.0%;3.3%;1.7%;;1.7%;;;;;;;;5.0%;
;;36401;Control Systems Lab;202420;Spring 2024;001;10044;Gutierrez Valdes, Andres;63.6%;;;;27.3%;;;9.1%;;;;;;;;;;;;;;;;
;;;;;;003;10046;Hanna, Alexander W.;66.7%;;;;33.3%;;;;;;;;;;;;;;;;;;;
;;;;;;006;10049;Hoyos, Jose D.;72.7%;;;;18.2%;;;;;;;;;;;;;;;;;;9.1%;
;;;;;;010;12464;Gutierrez Valdes, Andres;83.3%;;;;16.7%;;;;;;;;;;;;;;;;;;;
;;;;;;011;12466;Choi, Yooseung;75.0%;;;;16.7%;;;;;;;;;;;;;;;;;;8.3%;
;;;;;;012;12471;Kristinsson, Thorsteinn H.;58.3%;;;;33.3%;;;;;;;;;;;;;;;;;;8.3%;
;;;;;;016;22580;Choi, Yooseung;83.3%;;;;16.7%;;;;;;;;;;;;;;;;;;;
;;;;;;017;22582;Hoyos, Jose D.;75.0%;;;;25.0%;;;;;;;;;;;;;;;;;;;
;;39699;Prof Practice Internship;202420;Spring 2024;001;13064;Gurk, Amanda L.;;;;;;;;;;;;;;;;;;;;82.8%;17.2%;;;
;;40000;Ugrad Senior Seminar;202420;Spring 2024;001;67991;Crossley, William A.;56.8%;;5.8%;;23.9%;;;9.0%;;;1.9%;;;;1.3%;;;;;;;;1.3%;
;;41800;Zero-Gravity Flt Exper;202420;Spring 2024;008;23070;Collicott, Steven H.;88.9%;4.4%;;;;4.4%;2.2%;;;;;;;;;;;;;;;;;
;;;;;;009;23071;Collicott, Steven H.;68.9%;17.8%;2.2%;;;;11.1%;;;;;;;;;;;;;;;;;
;;42100;Flight Dynam & Control;202420;Spring 2024;001;12557;Corless, Martin;20.6%;;6.3%;;50.8%;;;17.5%;;;3.2%;;;;;;;;;;;;1.6%;
;;;;;;002;10597;Dai, Ran;13.6%;24.2%;28.8%;;13.6%;;12.1%;;;4.5%;;;;;;;;;;;;;3.0%;
;;43800;Air-Breathing Propulsion;202420;Spring 2024;001;12476;Slabaugh, Carson D.;14.8%;4.5%;2.3%;;28.4%;4.5%;4.5%;23.9%;3.4%;;4.5%;;;;8.0%;;;;;;;;1.1%;
;;44000;Spacecraft Att Dynam;202420;Spring 2024;001;10608;Howell, Kathleen;30.0%;;;;15.0%;5.0%;5.0%;25.0%;;5.0%;;5.0%;;;5.0%;;;;;;;;5.0%;
;;;;;;002;10609;Howell, Kathleen;14.6%;6.3%;;;12.5%;12.5%;2.1%;25.0%;6.3%;4.2%;4.2%;2.1%;;;6.3%;;;;;;;;4.2%;
;;45000;Spacecraft Design;202420;Spring 2024;016;25994;Shashurin, Alexey;27.3%;27.3%;27.3%;;9.1%;9.1%;;;;;;;;;;;;;;;;;;
;;;;;;024;23125;Garrison, James L.;45.7%;20.0%;25.7%;;2.9%;;;;;;2.9%;;;;2.9%;;;;;;;;;
;;;;;;025;23126;Cunningham, Thomas F.;84.0%;;;;12.0%;;;2.0%;;;;;;;;;;;;;;;2.0%;
;;;;;;026;23127;Cunningham, Thomas F.;46.3%;;;;51.2%;;;;;;;;;;;;;;;;;;;2.4%
;;45100;Aircraft Design;202420;Spring 2024;003;10067;Machado Guimaraes, Thiago Augusto;16.7%;47.0%;;;1.5%;;34.8%;;;;;;;;;;;;;;;;;
;;;;;;004;10614;Machado Guimaraes, Thiago Augusto;36.7%;46.7%;;;;;16.7%;;;;;;;;;;;;;;;;;
;;45400;Design Aerosp Struct;202420;Spring 2024;001;16063;Zhang, Dianyun;39.5%;31.6%;13.2%;;;2.6%;2.6%;2.6%;2.6%;;;;;;;;;;;;;;5.3%;
;;49000;Orbital Analysis;202420;Spring 2024;065;28392;Capannolo, Andrea;6.4%;14.9%;;6.4%;14.9%;14.9%;17.0%;4.3%;;4.3%;2.1%;4.3%;4.3%;;4.3%;;;;;;;;2.1%;
;;51200;Computational Aerodyn;202420;Spring 2024;001;22328;Poggie, Jonathan;35.3%;17.6%;17.6%;;;;17.6%;;;;;;;;;;;;;;;;11.8%;
