Subject;Subject Desc;Course Number;Title;Academic Period;Academic Period Desc;Section;CRN;Instructor;A;A-;A+;AU;B;B-;B+;C;C-;C+;D;D-;D+;E;F;I;N;P;PI;S;SI;U;W;
;;44200;Chem Of High Polymers;202420;Spring 2024;001;18092;Caruthers, James M.;16.7%;44.4%;;;33.3%;;;;;;;;;;5.6%;;;;;;;;;
;;45000;Desgn & Anly Proc Sys;202420;Spring 2024;011;49687;Siirola, Jeffrey J.;30.3%;26.5%;;;10.6%;6.1%;22.0%;1.5%;0.8%;2.3%;;;;;;;;;;;;;;
;;54000;Transport Phenomena;202420;Spring 2024;001;11818;Narsimhan, Vivek;21.4%;4.8%;4.8%;2.4%;19.0%;7.1%;11.9%;11.9%;4.8%;9.5%;;;;;;;;;;;;;2.4%;
;;55400;Smart Man In Process Ind;202420;Spring 2024;001;18317;Nagy, Zoltan;75.0%;;;6.3%;6.3%;;;;;;;;;;6.3%;6.3%;;;;;;;;
;;59700;Advanced Solar Conversion;202420;Spring 2024;065;18379;Agrawal, Rakesh;58.3%;;;;33.3%;;;8.3%;;;;;;;;;;;;;;;;
;;;Computational Optimization;202420;Spring 2024;066;20498;Li, Can;21.9%;18.8%;3.1%;21.9%;15.6%;6.3%;;3.1%;;;3.1%;;;;;3.1%;;;;;;;3.1%;
;;;Eletrochem & Electrocheml Engr;202420;Spring 2024;057;23843;Tackett, Brian M.;50.0%;;9.4%;6.3%;18.8%;6.3%;9.4%;;;;;;;;;;;;;;;;;
;;;Energy Tran Sustainable Future;202420;Spring 2024;058;18332;Miller, Jeffrey T.;44.4%;18.5%;11.1%;3.7%;;;3.7%;;;;;;;;;;;;;;;;3.7%;14.8%
;;;Financial Anlys Mgmt Of Proj;202420;Spring 2024;030;19142;Chutka, Michelle N.;90.0%;3.3%;3.3%;;;;3.3%;;;;;;;;;;;;;;;;;
;;;Industrial Chemical Technology;202420;Spring 2024;028;16520;Siirola, Jeffrey J.;84.6%;;;;13.8%;;;1.5%;;;;;;;;;;;;;;;;
;;;Medical Devices;202420;Spring 2024;044;27773;Clark, William R.;63.2%;;26.3%;;5.3%;2.6%;;;;2.6%;;;;;;;;;;;;;;
;;;Purdue Military Rch Instit Sem;202420;Spring 2024;067;22911;Bhagwat, Swati;97.3%;;;2.7%;;;;;;;;;;;;;;;;;;;;
;;60000;Apprchs To Grad Res Chem Engr;202420;Spring 2024;001;18341;Morgan, John A.;59.5%;4.8%;;;33.3%;;;;;;;;;;2.4%;;;;;;;;;
;;66000;Chem React Engineering;202420;Spring 2024;001;13698;Ramkrishna, Doraiswami;11.9%;9.5%;2.4%;;50.0%;23.8%;;;;;;;;;2.4%;;;;;;;;;
;;69000;Chem Engr Seminar;202420;Spring 2024;001;13700;Johnson, Beverly J.;;;;;;;;;;;;;;;;;;;;100.0%;;;;
;;69700;Heterogeneous Catalysis;202420;Spring 2024;064;13336;Gounder, Rajamani P.;;;;;;;;;;;;;;;;;;100.0%;;;;;;
;;69900;Research PhD Thesis;202420;Spring 2024;032;12616;Gounder, Rajamani P.;;;;;;;;;;;;;;;;;;;;100.0%;;;;
;;;;;;035;13668;Greeley, Jeffrey P.;;;;;;;;;;;;;;;;;;;;100.0%;;;;
;;;;;;040;23610;Savoie, Brett;;;;;;;;;;;;;;;;;;;;92.9%;;7.1%;;
CHM;CHM-Chemistry;11100;General Chemistry;202420;Spring 2024;001;13773;Ithier, Angelique;16.8%;;9.2%;;17.6%;;8.4%;18.5%;;4.2%;3.4%;;2.5%;;7.1%;;;;;;;;12.2%;
;;11200;General Chemistry;202420;Spring 2024;001;13821;Harwood, Cynthia A.;31.3%;;4.8%;;24.1%;;9.2%;13.6%;;4.6%;4.1%;;2.1%;;3.9%;;;;;;;;2.3%;
;;;;;;002;13822;Harwood, Cynthia A.;30.1%;;4.5%;;21.0%;;7.1%;14.8%;;2.6%;5.4%;;2.0%;;6.5%;0.3%;;;;;;;5.7%;
;;11500;General Chemistry;202420;Spring 2024;001;13892;Claridge, Shelley A.;10.5%;10.0%;5.6%;;9.7%;10.2%;14.6%;5.9%;4.1%;10.5%;3.6%;1.3%;3.8%;;6.4%;0.3%;;;;;;;3.6%;
;;;;;;002;13893;Claridge, Shelley A.;9.4%;10.1%;6.3%;;10.4%;6.3%;17.0%;8.1%;6.3%;8.4%;1.5%;2.0%;4.6%;;5.8%;;;;;;;;3.8%;
;;;;;;765;15897;Schmidt, Gudrun;7.3%;8.6%;8.3%;;7.0%;7.3%;12.1%;6.7%;8.9%;11.4%;2.2%;3.2%;3.8%;;9.5%;0.3%;;;;;;;3.5%;
;;11600;General Chemistry;202420;Spring 2024;132;18402;Nash, John J.;9.9%;13.2%;1.3%;;11.9%;9.9%;7.9%;7.0%;8.6%;9.9%;3.6%;2.6%;7.0%;;4.6%;;;;;;;;2.3%;
;;;;;;133;18403;Nash, John J.;12.1%;13.2%;1.8%;;8.9%;9.6%;8.9%;8.9%;6.1%;11.1%;5.0%;2.1%;3.6%;;6.1%;;;;;;;;2.5%;
;;;;;;353;12206;Laskin, Julia;11.6%;16.4%;4.1%;;9.9%;7.9%;9.6%;7.9%;8.2%;8.6%;2.1%;2.1%;5.1%;;5.1%;;;;;;;;1.4%;
;;;;;;392;24742;Laskin, Julia;10.8%;14.5%;2.2%;;5.4%;10.2%;9.7%;14.0%;4.8%;5.9%;4.8%;2.2%;4.3%;;7.5%;;;;;;;;3.8%;
;;12600;Intr To Chemistry II;202420;Spring 2024;SC1;14072;Starr, Hannah E.;13.6%;10.2%;6.8%;;6.8%;11.4%;9.1%;8.0%;6.8%;8.0%;4.5%;1.1%;5.7%;;1.1%;;;;;;;;6.8%;
;;;Intr To Chemistry II-Honors;202420;Spring 2024;SC1;14072;Starr, Hannah E.;60.0%;;;;20.0%;;20.0%;;;;;;;;;;;;;;;;;
;;25500;Org Chem Life Sci I;202420;Spring 2024;001;14098;Altman, Ryan A.;15.6%;;11.3%;;15.2%;;3.1%;14.4%;13.2%;5.1%;5.8%;;2.3%;;9.7%;0.8%;;;;;;;3.5%;
;;;;;;008;12210;Altman, Ryan A.;17.6%;;8.5%;;15.9%;;6.1%;15.6%;8.1%;5.1%;5.8%;;4.4%;;7.8%;0.7%;;;;;;;4.4%;
;;;Org Chem Life Sci I-Honors;202420;Spring 2024;008;12210;Altman, Ryan A.;;;;;100.0%;;;;;;;;;;;;;;;;;;;
;;25501;Org Chem Life Sci Lab I;202420;Spring 2024;111;18987;Jammal, Victor A.;75.0%;;;;12.5%;;;8.3%;;;;;;;;;;;;;;;4.2%;
;;;;;;112;18830;Bhattacharjee, Amlan;70.8%;;;;25.0%;;;4.2%;;;;;;;;;;;;;;;;
;;;;;;113;14102;Smith, Cameron J.;95.7%;;;;;;;;;;;;;;;;;;;;;;4.3%;
;;;;;;114;14101;Breinig, Tanvi S.;95.8%;;;;4.2%;;;;;;;;;;;;;;;;;;;
;;;;;;115;18829;Saklani, Pooja;87.5%;;;;8.3%;;;4.2%;;;;;;;;;;;;;;;;
;;;;;;121;17936;Barbarini, Brian T.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;122;14105;Zhilinskaya, Irina;95.8%;;;;4.2%;;;;;;;;;;;;;;;;;;;
;;;;;;123;18986;Roller, Ethan A.;83.3%;;;;16.7%;;;;;;;;;;;;;;;;;;;
;;;;;;131;14106;Kloosterman, Katherine C.;66.7%;;;;20.8%;;;8.3%;;;;;;;;;;;;;;;4.2%;
;;;;;;132;14104;Weed, Ryan S.;95.8%;;;;4.2%;;;;;;;;;;;;;;;;;;;
;;;;;;133;17941;Conklin, Jeanine A.;91.7%;;;;8.3%;;;;;;;;;;;;;;;;;;;
;;;;;;134;17944;Cain, Laurance T.;79.2%;;;;20.8%;;;;;;;;;;;;;;;;;;;
;;;;;;135;22739;Roller, Ethan A.;87.5%;;;;4.2%;;;4.2%;;;4.2%;;;;;;;;;;;;;
;;;;;;211;22745;Awoyemi, Tobiloba E.;87.5%;;;;4.2%;;;;;;;;;;;;;;;;;;8.3%;
;;;;;;212;22986;Bari, Md Sazzadul;45.8%;;;;50.0%;;;;;;;;;;;;;;;;;;4.2%;
;;;;;;213;18347;Saklani, Pooja;87.5%;;;;12.5%;;;;;;;;;;;;;;;;;;;
;;;;;;221;18350;Forbes, Dylan S.;65.0%;;;;25.0%;;;5.0%;;;;;;;;;;;;;;;5.0%;
;;;;;;222;14986;Eldosuky, Shadwa H.;82.4%;;;;;;;;;;;;;;;;;;;;;;17.6%;
;;;;;;223;23701;Bhattacharjee, Amlan;25.0%;;;;62.5%;;;;;;6.3%;;;;;;;;;;;;6.3%;
;;;;;;231;27325;Mondal, Priyam;88.2%;;;;5.9%;;;;;;;;;;;;;;;;;;5.9%;
;;;;;;232;27315;Farahani, Mahsa;75.0%;;;;20.8%;;;4.2%;;;;;;;;;;;;;;;;
;;25600;Org Chem Life Sci II;202420;Spring 2024;001;14107;Kern, Mallory K.;22.4%;;7.1%;;24.9%;;9.6%;6.0%;1.4%;11.4%;4.6%;;5.0%;;2.8%;;0.4%;;;;;;4.3%;
;;;;;;006;26159;Sintim, Herman O.;30.8%;;10.0%;;22.5%;;11.7%;9.2%;;4.2%;9.2%;;;;1.7%;;;;;;;;0.8%;
;;;Org Chem Life Sci II-Honors;202420;Spring 2024;006;26159;Sintim, Herman O.;;;;;;;;100.0%;;;;;;;;;;;;;;;;
;;25601;Organic Chem Life Sci Lab II;202420;Spring 2024;321;14119;Sayed, Shomoita;94.1%;;;;5.9%;;;;;;;;;;;;;;;;;;;
;;;;;;322;14113;Calderon Cazorla, Sebastian I.;92.9%;;;;;;;;;;;;;;7.1%;;;;;;;;;
;;;;;;323;14112;Ghosh, Chayan;85.7%;;;;14.3%;;;;;;;;;;;;;;;;;;;
;;;;;;331;66831;Sharma, Sahil;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;332;14111;Beljikumar Onattu, Meenakshi;61.1%;;;;38.9%;;;;;;;;;;;;;;;;;;;
;;;;;;333;14116;Ghosh, Chayan;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;334;14114;Darko, Kwabena;90.5%;;;;4.8%;;;;;;;;;;;;;;;;;;4.8%;
;;;;;;335;27347;Bedda, Loay A.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;521;14117;Snyder, Madison J.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;522;14118;Calderon Cazorla, Sebastian I.;65.2%;;;;17.4%;;;;;;;;;;4.3%;;;4.3%;;;;;8.7%;
;;;;;;523;14115;Castator, Kylie G.;91.3%;;;;8.7%;;;;;;;;;;;;;;;;;;;
;;;;;;524;18354;Kiran, Avinash;95.8%;;;;4.2%;;;;;;;;;;;;;;;;;;;
;;;;;;525;18355;Sharma, Sahil;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;531;23453;Castator, Kylie G.;95.0%;;;;;;;;;;;;;;;;;;;;;;5.0%;
;;;;;;532;27328;Thompson, Lauren K.;95.8%;;;;;;;;;;;;;;;;;;;;;;4.2%;
;;;;;;533;27338;Alawaed, Abdulkhaliq A.;95.7%;;;;4.3%;;;;;;;;;;;;;;;;;;;
;;;;;;534;27340;Bedda, Loay A.;95.8%;;;;4.2%;;;;;;;;;;;;;;;;;;;
;;;;;;535;27345;Kiran, Avinash;93.8%;;;;6.3%;;;;;;;;;;;;;;;;;;;
;;25700;Organic Chemistry;202420;Spring 2024;001;14121;Mao, Chengde;26.1%;;;;33.8%;;;28.2%;;;8.5%;;;;0.7%;;;;;;;;2.8%;
;;25701;Organic Chem Lab;202420;Spring 2024;311;14128;Hutson, Hunter M.;46.2%;;;;38.5%;;;7.7%;;;7.7%;;;;;;;;;;;;;
;;26200;Organic Chemistry II;202420;Spring 2024;001;14130;Wenthold, Paul G.;20.3%;1.6%;17.2%;;32.8%;3.1%;;19.5%;;0.8%;2.3%;;0.8%;;;;;;;;;;1.6%;
;;26400;Organic Chemistry Lab II;202420;Spring 2024;411;12213;Boateng, Prince A.;73.7%;;15.8%;;;;10.5%;;;;;;;;;;;;;;;;;
;;;;;;412;14136;Davis, Noah A.;92.9%;;7.1%;;;;;;;;;;;;;;;;;;;;;
;;;;;;421;14131;Stagner, Aubrey G.;81.8%;;13.6%;;;;4.5%;;;;;;;;;;;;;;;;;
;;;;;;422;12220;Stagner, Aubrey G.;50.0%;;41.7%;;4.2%;;;;;;;;;;;;;;;;;;4.2%;
;;;;;;423;14133;Davis, Noah A.;83.3%;;12.5%;;;;;;;;;;;;;;;;;;;;4.2%;
;;;;;;431;36118;Boateng, Prince A.;83.3%;;12.5%;;;;4.2%;;;;;;;;;;;;;;;;;
;;26600;Organic Chemistry Lab II;202420;Spring 2024;001;14139;Janabel, Jaysan;65.0%;;30.0%;;5.0%;;;;;;;;;;;;;;;;;;;
;;;;;;002;36168;Bonds, Audrey L.;64.7%;;11.8%;;11.8%;;11.8%;;;;;;;;;;;;;;;;;
;;;;;;003;10647;Chowdhury, Vaskar;52.9%;;29.4%;;5.9%;;11.8%;;;;;;;;;;;;;;;;;
;;;;;;005;27350;Darling, Deacon M.;50.0%;;5.0%;;25.0%;;10.0%;5.0%;;;;;;;5.0%;;;;;;;;;
;;26605;Organic Chemistry II;202420;Spring 2024;001;38188;Ngai, Ming-Yu;18.1%;7.4%;22.3%;1.1%;4.3%;7.4%;5.3%;7.4%;5.3%;6.4%;4.3%;2.1%;4.3%;;3.2%;;;;;;;;1.1%;
;;26800;Organic Chem Lab II Honors;202420;Spring 2024;H01;14140;Henager, Marissa E.;84.6%;;15.4%;;;;;;;;;;;;;;;;;;;;;
;;29000;Quantitative Analysis;202420;Spring 2024;002;13638;Dick, Jeffrey E.;40.0%;;20.0%;;20.0%;4.0%;12.0%;;;;;;;;4.0%;;;;;;;;;
;;33900;Biochem: Molecular Approach;202420;Spring 2024;001;16689;Lyon, Angeline M.;19.1%;;5.8%;;23.9%;;11.0%;15.9%;;8.1%;6.1%;1.3%;6.8%;;1.0%;;;;;;;;1.0%;
;;;Biochem: Molecular Appr-Honors;202420;Spring 2024;001;16689;Lyon, Angeline M.;;;;;;;;;;100.0%;;;;;;;;;;;;;;
;;33901;Biochemistry Laboratory;202420;Spring 2024;001;27563;Lukov, Laura L.;95.0%;;;;;;;5.0%;;;;;;;;;;;;;;;;
;;;;;;002;27564;Bhattacharya, Debapriya;87.0%;;;;8.7%;;;4.3%;;;;;;;;;;;;;;;;
;;;;;;003;27565;Ravinuthala, Dhulika;83.3%;;;;16.7%;;;;;;;;;;;;;;;;;;;
;;;;;;004;27566;Davis, Bailey M.;91.3%;;;;;;;4.3%;;;;;;;4.3%;;;;;;;;;
;;;;;;005;27567;Outlaw, Kennedy A.;86.4%;;;;9.1%;;;4.5%;;;;;;;;;;;;;;;;
;;;;;;006;27568;Lukov, Laura L.;91.3%;;;;4.3%;;;;;;;;;;;;;;;;;;4.3%;
;;;;;;007;27569;Shah, Sohan V.;85.0%;;;;15.0%;;;;;;;;;;;;;;;;;;;
;;;;;;008;27570;Shah, Sohan V.;95.8%;;;;4.2%;;;;;;;;;;;;;;;;;;;
;;;;;;009;27571;Ravinuthala, Dhulika;87.5%;;;;12.5%;;;;;;;;;;;;;;;;;;;
;;;;;;010;27572;Lotana, Humphrey L.;95.7%;;;;4.3%;;;;;;;;;;;;;;;;;;;
;;;;;;011;27573;Rakshit, Joydeep;91.7%;;;;8.3%;;;;;;;;;;;;;;;;;;;
;;;;;;012;27574;Trench, Cara R.;75.0%;;;;20.8%;;;;;;4.2%;;;;;;;;;;;;;
;;;;;;013;27575;Trench, Cara R.;58.3%;;;;33.3%;;;8.3%;;;;;;;;;;;;;;;;
;;;;;;014;27576;McComb, Keegan B.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;34200;Inorganic Chemistry;202420;Spring 2024;001;14142;Wilker, Jonathan J.;28.5%;;;;41.7%;;;18.5%;;;9.9%;;;;1.3%;;;;;;;;;
;;34201;Inorganic Chem Lab;202420;Spring 2024;001;14144;Naren, Nevin A.;92.3%;7.7%;;;;;;;;;;;;;;;;;;;;;;
;;;;;;002;14143;Naren, Nevin A.;33.3%;8.3%;50.0%;;;;;;;;;;;;;;;;;;;;8.3%;
;;37000;Topics In Physical Chm;202420;Spring 2024;001;14145;Kais, Sabre;19.0%;16.7%;16.7%;;26.2%;;7.1%;;2.4%;;;4.8%;;;2.4%;;;;;;;;4.8%;
;;37200;Physical Chemistry;202420;Spring 2024;001;14146;Chopra, Gaurav;14.3%;16.5%;15.4%;;4.4%;18.7%;6.6%;;2.2%;11.0%;;;2.2%;;5.5%;;;;;;;;3.3%;
;;37400;Physical Chemistry II;202420;Spring 2024;001;14147;Liu, Hanzhe;37.5%;;16.7%;;32.3%;;;10.4%;;;1.0%;;;;1.0%;;;;;;;;1.0%;
;;42400;Anly Chemistry II;202420;Spring 2024;001;27620;Zhang, Chi;31.3%;50.0%;6.3%;;6.3%;;6.3%;;;;;;;;;;;;;;;;;
;;43800;Intro Molecular Biotechnology;202420;Spring 2024;001;24809;Tian, Shiliang;25.5%;8.5%;12.8%;;21.3%;10.6%;12.8%;8.5%;;;;;;;;;;;;;;;;
;;46200;Intermediate Org Chm;202420;Spring 2024;001;27995;Kenttamaa, Hilkka I.;66.7%;;;;29.2%;;;4.2%;;;;;;;;;;;;;;;;
;;49000;The Nuclear Age;202420;Spring 2024;001;27625;Rienstra-Kiracofe, Jonathan C.;56.0%;8.0%;;;12.0%;4.0%;8.0%;;;4.0%;;;;;4.0%;;;;;;;;4.0%;
;;49400;Jun-Sen Chem Seminar;202420;Spring 2024;001;14158;Wenthold, Paul G.;20.6%;;67.6%;;8.8%;;2.9%;;;;;;;;;;;;;;;;;
;;49900;Spec Assign;202420;Spring 2024;047;14162;Low, Philip S.;57.6%;1.7%;37.3%;;;;;;;;;;;;;;;1.7%;;;;;1.7%;
;;;;;;070;14179;Kenttamaa, Hilkka I.;90.9%;;;;9.1%;;;;;;;;;;;;;;;;;;;
;;51300;Chemical Literature;202420;Spring 2024;001;14189;Zwicky, David A.;31.3%;6.3%;46.9%;;6.3%;;6.3%;;;;;3.1%;;;;;;;;;;;;
;;;;;;002;25465;Zwicky, David A.;17.6%;5.9%;67.6%;2.9%;2.9%;;2.9%;;;;;;;;;;;;;;;;;
;;59900;Intro Sci Glassblowing;202420;Spring 2024;008;26455;Smith, Jordan H.;27.3%;;;;;9.1%;;;;;;;;;;;;54.5%;;;;;9.1%;
;;;;;;009;26456;Smith, Jordan H.;75.0%;;;;;;;;;;;;;;;;;25.0%;;;;;;
;;62100;Adv Analytical Chem;202420;Spring 2024;001;18524;Simpson, Garth J.;21.9%;;50.0%;;21.9%;;;3.1%;;;;;;;;;;;;;;;3.1%;
;;62400;Particle Spectroscopy;202420;Spring 2024;001;14196;Mcluckey, Scott A.;32.1%;;28.6%;10.7%;7.1%;7.1%;7.1%;7.1%;;;;;;;;;;;;;;;;
;;63800;Biophysical Chem;202420;Spring 2024;001;16117;Das, Chittaranjan;50.0%;7.1%;;7.1%;7.1%;;14.3%;;;;;;;;;;;;;;;;14.3%;
;;65200;Synthetic Organic Chem;202420;Spring 2024;001;14201;Axelrod, Abram J.;33.3%;10.0%;;6.7%;20.0%;3.3%;20.0%;;;;;;;;;;;3.3%;;;;;3.3%;
;;67200;Quantum Chem;202420;Spring 2024;001;18763;Walther, Valentin;9.1%;9.1%;18.2%;;9.1%;;54.5%;;;;;;;;;;;;;;;;;
;;67300;Comput Quantum Chem;202420;Spring 2024;001;16134;Slipchenko, Lyudmila V.;23.5%;5.9%;23.5%;5.9%;11.8%;;29.4%;;;;;;;;;;;;;;;;;
;;69500;Sem Anlytcl Chem;202420;Spring 2024;001;14203;Zhang, Chi;;;;;;;;;;;;;;;;;;;;100.0%;;;;
;;;;;;018;48720;Zhang, Chi;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;;Sem Biochem;202420;Spring 2024;019;48721;Low-Nam, Shalini T.;;;;;;;;;;;;;;;;;;;;100.0%;;;;
;;;Sem Inorganic Chem;202420;Spring 2024;020;48722;Tian, Shiliang;;;;;;;;;;;;;;;;;;;;100.0%;;;;
;;;Sem Materials Chem;202420;Spring 2024;024;23369;Dong, Qi;;;;;;;;;;;;;;;;;;;;100.0%;;;;
;;;Sem Organic Chem;202420;Spring 2024;021;48723;Wenthold, Paul G.;;;;;;;;;;;;;;;;;;;;100.0%;;;;
;;;Sem Physical Chem;202420;Spring 2024;004;14206;Chen, Ming;;;;;;;;;;;;;;;;;;;;100.0%;;;;
;;69600;Chem Biol From Bioanyl Perspct;202420;Spring 2024;012;18538;Drown, Bryon S.;4.3%;10.6%;8.5%;21.3%;21.3%;;14.9%;;4.3%;2.1%;;;;;;2.1%;;;;;;;10.6%;
;;;FEM Chem Syst;202420;Spring 2024;016;22998;Dick, Jeffrey E.;95.0%;;5.0%;;;;;;;;;;;;;;;;;;;;;
;;;Intro To Density Functl Theory;202420;Spring 2024;013;18539;Wasserman, Adam;61.5%;;7.7%;7.7%;7.7%;;;;;7.7%;;;;;;;;;;;;;7.7%;
;;;Sustainablty, Energy & Environ;202420;Spring 2024;011;18537;Dong, Qi;21.4%;;71.4%;;7.1%;;;;;;;;;;;;;;;;;;;
;;;X-Ray Crystallography;202420;Spring 2024;006;19269;Zeller, Matthias;15.4%;23.1%;15.4%;15.4%;;7.7%;7.7%;;;;;;;;;;;;;;;;15.4%;
;;69900;Research PhD Thesis;202420;Spring 2024;006;14257;Dick, Jeffrey E.;;;;;;;;;;;;;;;;;;;;100.0%;;;;
;;;;;;015;66341;Cooks, Robert G.;;;;;;;;;;;;;;;;;;;;100.0%;;;;
;;;;;;020;14227;Chopra, Gaurav;;;;;;;;;;;;;;;;;;;;100.0%;;;;
;;;;;;027;14224;Laskin, Alexander;;;;;;;;;;;;;;;;;;;;90.9%;;;9.1%;
;;;;;;028;36222;Laskin, Julia;;;;;;;;;;;;;;;;;;;;100.0%;;;;
;;;;;;046;14234;Mei, Jianguo;;;;;;;;;;;;;;;;;;;;100.0%;;;;
;;;;;;047;14242;Low, Philip S.;;;;;;;;;;;;;;;;;;;;93.3%;;6.7%;;
;;;;;;051;14261;Mcluckey, Scott A.;;;;;;;;;;;;;;;;;;;;91.7%;;8.3%;;
;;;;;;070;14249;Kenttamaa, Hilkka I.;;;;;;;;;;;;;;;;;;;;94.7%;;5.3%;;
;;;;;;071;23024;Uyeda, Christopher H.;;;;;;;;;;;;;;;;;;;;100.0%;;;;
;;;;;;083;14258;Sintim, Herman O.;;;;;;;;;;;;;;;;;;;;100.0%;;;;
CHNS;CHNS-Chinese;10200;Chinese Level II;202420;Spring 2024;011;69852;Wei, Li;52.6%;;;5.3%;15.8%;;;15.8%;;;;;;;10.5%;;;;;;;;;
;;;;;;012;19387;Wei, Li;84.6%;;;;7.7%;;;7.7%;;;;;;;;;;;;;;;;
;;;Chinese Level II-Honors;202420;Spring 2024;011;69852;Wei, Li;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;20200;Chinese Level IV;202420;Spring 2024;002;15224;Tang, Zhengyu;58.8%;17.6%;;5.9%;5.9%;11.8%;;;;;;;;;;;;;;;;;;
;;;;;;003;15225;Hu, Jingying;53.3%;6.7%;;;6.7%;13.3%;6.7%;;;6.7%;;;;;6.7%;;;;;;;;;
;;;Chinese Level IV-Honors;202420;Spring 2024;002;15224;Tang, Zhengyu;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;28000;Chinese Culture;202420;Spring 2024;001;15229;Wang, Chi-Ying A.;38.9%;44.4%;;;;;11.1%;;;;;;;;5.6%;;;;;;;;;
;;28100;Intro Chinese Food Culture II;202420;Spring 2024;001;13592;Wann, Ai-Jen;22.2%;16.7%;;;22.2%;16.7%;5.6%;5.6%;;;;;;;;;;;;;;;11.1%;
;;28500;Chinese Calligraphy;202420;Spring 2024;001;25662;Wann, Ai-Jen;35.7%;28.6%;7.1%;;7.1%;;7.1%;;;;;;;;;;;;;;;;14.3%;
;;30200;Chinese Level VI;202420;Spring 2024;003;14818;Tang, Zhengyu;75.0%;6.3%;;;12.5%;;;6.3%;;;;;;;;;;;;;;;;
;;33000;Chinese Cinema;202420;Spring 2024;001;20104;Route, Hongjian W.;33.3%;33.3%;;;4.8%;4.8%;;4.8%;4.8%;;;;4.8%;;;;;;;;;;9.5%;
;;34100;Chinese Lit I: Traditl;202420;Spring 2024;001;14288;Hsieh, Daniel;47.1%;35.3%;;;5.9%;;11.8%;;;;;;;;;;;;;;;;;
CLCS;CLCS-Classics;23010;Survey Of Greek Lit;202420;Spring 2024;001;17691;Campbell, Charles S.;36.8%;15.8%;21.1%;;10.5%;;10.5%;;;;;;;;;;;;;;;;5.3%;
;;;Survey Of Greek Lit-Honors;202420;Spring 2024;001;17691;Campbell, Charles S.;33.3%;;66.7%;;;;;;;;;;;;;;;;;;;;;
;;23300;Comparative Mythology;202420;Spring 2024;002;25663;Dickson, Keith M.;20.3%;19.5%;;;15.0%;6.0%;9.0%;8.3%;;6.0%;1.5%;;2.3%;;5.3%;;;;;;;;6.8%;
;;23700;Gender Sex Greece Rome;202420;Spring 2024;001;17640;Conner, Daniel A.;26.3%;15.8%;7.9%;2.6%;7.9%;7.9%;2.6%;2.6%;2.6%;5.3%;;;2.6%;;10.5%;;;;;;;;5.3%;
;;38300;The Roman Empire;202420;Spring 2024;001;15263;Rauh, Nicholas K.;27.1%;2.1%;45.8%;;2.1%;4.2%;6.3%;2.1%;;6.3%;;;;;;;;;;;;;4.2%;
;;;;;;002;15265;Rauh, Nicholas K.;13.8%;15.5%;44.8%;;3.4%;6.9%;6.9%;;1.7%;1.7%;1.7%;;;;1.7%;;;;;;;;1.7%;
;;38500;Sci,Med,Magic Anc West;202420;Spring 2024;001;15283;Dickson, Keith M.;22.9%;10.4%;2.1%;;20.8%;2.1%;6.3%;6.3%;6.3%;6.3%;2.1%;;4.2%;;4.2%;;;2.1%;;;;;4.2%;
;;;;;;002;22803;Dickson, Keith M.;14.0%;12.0%;6.0%;;20.0%;8.0%;12.0%;10.0%;4.0%;6.0%;;2.0%;4.0%;;;;;;;;;;2.0%;
CLPH;CLPH-Clinical Pharmacy;43500;Pediatric Pharmacthrpy;202420;Spring 2024;001;60538;Israel, Emily N.;95.0%;;;;5.0%;;;;;;;;;;;;;;;;;;;
;;45400;Adv Practice In Psych Pharmacy;202420;Spring 2024;001;45953;Ott, Carol A.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;45900;Intl Adv Pharm Prac Exp Prep;202420;Spring 2024;001;11691;Miller, Monica L.;95.7%;;;;2.2%;;;2.2%;;;;;;;;;;;;;;;;
;;69600;Seminar In Pharmacy;202420;Spring 2024;001;16403;Zillich, Alan J.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
CM;CM-Construction Management;10000;Intro To Construction Mgmt;202420;Spring 2024;001;12591;Sparkling, Anthony E.;22.7%;5.3%;10.7%;;17.3%;8.0%;8.0%;12.0%;2.7%;8.0%;;;;;2.7%;;;;;;;;2.7%;
;;11000;Construction OSHA Ten-Hour;202420;Spring 2024;001;12351;Merchant, Jason L.;1.1%;9.0%;85.4%;;;;;;;;;;;;;3.4%;;;;;;;1.1%;
;;15000;Construction Mgmt Fundamentals;202420;Spring 2024;005;13382;Manuel, Joseph R.;48.5%;12.4%;2.1%;;16.5%;4.1%;12.4%;1.0%;1.0%;1.0%;;;;;1.0%;;;;;;;;;
;;16400;Graphics For Civ Engr & Const;202420;Spring 2024;010;68909;Cory, Clark A.;20.2%;;35.4%;;11.1%;;9.1%;7.1%;3.0%;3.0%;;;;;4.0%;;;;;;;;7.1%;
